#SAO J-BAND FILTER, 1250WB160, (AMBIENT 23-C)
#Wavelength (nm), % Transmission
#wl	transmission
#--	------------
3000	-0.1207
2998	0.3294
2996	0.0504
2994	0.1892
2992	0.1022
2990	0.0432
2988	0.0365
2986	0.1556
2984	0.1170
2982	0.1341
2980	0.2304
2978	0.1688
2976	0.1198
2974	0.1194
2972	0.0891
2970	0.1412
2968	0.2723
2966	0.0642
2964	0.0357
2962	0.1455
2960	0.0950
2958	0.1313
2956	0.1774
2954	0.1655
2952	-0.0062
2950	0.1018
2948	0.2034
2946	0.2124
2944	0.2758
2942	0.1291
2940	0.0152
2938	0.1842
2936	0.1438
2934	0.1372
2932	0.2643
2930	0.1888
2928	0.1152
2926	0.2526
2924	0.0739
2922	0.2363
2920	0.0339
2918	0.1417
2916	0.0763
2914	0.1174
2912	0.2184
2910	0.1265
2908	0.2172
2906	0.1280
2904	0.0994
2902	0.1836
2900	0.0939
2898	0.0364
2896	0.2160
2894	0.1042
2892	0.1127
2890	0.1617
2888	0.1677
2886	0.1637
2884	0.1068
2882	0.1476
2880	0.0909
2878	0.1275
2876	0.0016
2874	0.1570
2872	0.0328
2870	0.1562
2868	0.0375
2866	0.0294
2864	0.0015
2862	0.0656
2860	0.0069
2858	0.0071
2856	0.0072
2854	0.0300
2852	0.0496
2850	0.0595
2848	0.0268
2846	0.0284
2844	0.0377
2842	0.0521
2840	0.0418
2838	0.0519
2836	0.0015
2834	0.0035
2832	0.0071
2830	0.0167
2828	-0.0099
2826	0.0264
2824	0.0314
2822	-0.0056
2820	0.0123
2818	0.0382
2816	0.0006
2814	0.0129
2812	0.0173
2810	0.0155
2808	0.0102
2806	0.0075
2804	0.0151
2802	0.0070
2800	-0.0060
2798	0.0045
2796	0.0062
2794	0.0321
2792	0.0172
2790	0.0158
2788	-0.0155
2786	0.0099
2784	0.0363
2782	-0.0125
2780	-0.0087
2778	0.0074
2776	0.0134
2774	-0.0137
2772	0.0132
2770	-0.0048
2768	0.0095
2766	-0.0120
2764	0.0059
2762	-0.0058
2760	0.0023
2758	-0.0002
2756	-0.0173
2754	-0.0116
2752	0.0173
2750	-0.0091
2748	0.0154
2746	0.0071
2744	-0.0068
2742	-0.0059
2740	-0.0079
2738	-0.0072
2736	-0.0088
2734	0.0022
2732	-0.0006
2730	-0.0039
2728	0.0038
2726	-0.0047
2724	-0.0040
2722	-0.0072
2720	-0.0054
2718	-0.0092
2716	0.0003
2714	-0.0006
2712	0.0059
2710	-0.0034
2708	-0.0133
2706	-0.0064
2704	-0.0039
2702	0.0055
2700	0.0012
2698	-0.0002
2696	-0.0096
2694	-0.0097
2692	0.0064
2690	-0.0055
2688	-0.0007
2686	0.0083
2684	-0.0086
2682	-0.0063
2680	-0.0066
2678	0.0127
2676	-0.0081
2674	0.0009
2672	-0.0078
2670	0.0043
2668	0.0006
2666	-0.0029
2664	0.0059
2662	0.0100
2660	0.0033
2658	0.0021
2656	-0.0018
2654	0.0085
2652	0.0108
2650	0.0092
2648	0.0094
2646	0.0129
2644	0.0098
2642	0.0148
2640	0.0095
2638	0.0127
2636	0.0114
2634	0.0057
2632	0.0143
2630	0.0086
2628	0.0174
2626	0.0160
2624	0.0105
2622	0.0168
2620	0.0205
2618	0.0184
2616	0.0241
2614	0.0221
2612	0.0114
2610	0.0183
2608	0.0195
2606	0.0259
2604	0.0121
2602	0.0127
2600	0.0167
2598	0.0068
2596	0.0126
2594	0.0242
2592	0.0188
2590	0.0156
2588	0.0172
2586	0.0151
2584	0.0213
2582	0.0157
2580	0.0253
2578	0.0206
2576	0.0150
2574	0.0163
2572	0.0135
2570	0.0165
2568	0.0213
2566	0.0180
2564	0.0222
2562	0.0102
2560	0.0201
2558	0.0184
2556	0.0159
2554	0.0169
2552	0.0106
2550	0.0145
2548	0.0123
2546	0.0170
2544	0.0165
2542	0.0171
2540	0.0218
2538	0.0139
2536	0.0125
2534	0.0181
2532	0.0166
2530	0.0155
2528	0.0203
2526	0.0139
2524	0.0139
2522	0.0123
2520	0.0163
2518	0.0194
2516	0.0130
2514	0.0165
2512	0.0237
2510	0.0074
2508	0.0155
2506	0.0139
2504	0.0161
2502	0.0134
2500	0.0102
2498	0.0138
2496	0.0129
2494	0.0155
2492	0.0142
2490	0.0095
2488	0.0106
2486	0.0175
2484	0.0164
2482	0.0129
2480	0.0123
2478	0.0088
2476	0.0170
2474	0.0145
2472	0.0095
2470	0.0146
2468	0.0117
2466	0.0110
2464	0.0096
2462	0.0139
2460	0.0082
2458	0.0139
2456	0.0084
2454	0.0137
2452	0.0119
2450	0.0108
2448	0.0121
2446	0.0120
2444	0.0104
2442	0.0141
2440	0.0039
2438	0.0105
2436	0.0120
2434	0.0147
2432	0.0088
2430	0.0118
2428	0.0182
2426	0.0106
2424	0.0166
2422	0.0089
2420	0.0158
2418	0.0111
2416	0.0130
2414	0.0145
2412	0.0075
2410	0.0110
2408	0.0106
2406	0.0104
2404	0.0149
2402	0.0113
2400	0.0095
2398	0.0141
2396	0.0109
2394	0.0110
2392	0.0092
2390	0.0096
2388	0.0029
2386	0.0108
2384	0.0063
2382	0.0132
2380	0.0098
2378	0.0138
2376	0.0129
2374	0.0060
2372	0.0109
2370	0.0122
2368	0.0042
2366	0.0067
2364	0.0212
2362	0.0068
