# 2MASS filter curves for the j filter.
# lambda/Angstroem 	 RSR/au 
#wav RSR
10620.0	0.0
10660.0	0.000407068
10700.0	0.00154293
10750.0	0.00267013
10780.0	0.00550643
10820.0	0.0122532
10840.0	0.0202928
10870.0	0.030647
10890.0	0.0405135
10930.0	0.0515324
10960.0	0.0563529
11020.0	0.0718073
11050.0	0.273603
11070.0	0.340997
11090.0	0.358446
11120.0	0.380134
11160.0	0.330668
11170.0	0.239548
11200.0	0.250062
11230.0	0.283301
11280.0	0.258233
11290.0	0.251474
11320.0	0.538119
11340.0	0.223168
11380.0	0.536893
11400.0	0.110203
11430.0	0.529207
11470.0	0.26194
11540.0	0.320155
11590.0	0.1743
11640.0	0.607031
11670.0	0.617933
11700.0	0.676289
11730.0	0.72794
11750.0	0.746531
11790.0	0.830404
11820.0	0.790307
11860.0	0.809605
11880.0	0.836888
11920.0	0.835984
11950.0	0.749936
11990.0	0.708013
12020.0	0.698759
12090.0	0.704854
12160.0	0.700382
12210.0	0.732765
12270.0	0.705725
12310.0	0.842431
12360.0	0.921873
12400.0	0.952505
12440.0	0.967585
12470.0	0.959508
12530.0	0.922697
12550.0	0.892978
12580.0	0.852943
12600.0	0.802308
12650.0	0.750078
12700.0	0.678072
12750.0	0.652417
12790.0	0.638754
12860.0	0.642413
12920.0	0.64856
12970.0	0.68238
13020.0	0.752903
13050.0	0.775942
13070.0	0.811828
13100.0	0.777008
13130.0	0.72103
13160.0	0.952459
13190.0	0.855137
13230.0	0.841401
13260.0	1.0
13300.0	0.894736
13330.0	0.854912
13340.0	0.537894
13360.0	0.279866
13390.0	0.906532
13430.0	0.689345
13460.0	0.553327
13490.0	0.243177
13530.0	0.014376
13550.0	0.00018929
13600.0	0.0400791
13630.0	0.00453595
13700.0	0.000319968
13730.0	0.0372168
13770.0	0.000538436
13830.0	0.0
13880.0	0.000144443
13920.0	0.00329774
13950.0	0.000314438
13960.0	0.00847738
13970.0	0.0253731
13980.0	0.118446
14000.0	0.000135728
14010.0	6.10438e-05
14020.0	0.0521326
14040.0	0.0103768
14060.0	0.047805
14070.0	0.000419727
14100.0	0.00236641
14120.0	0.00526108
14160.0	0.00864765
14210.0	0.000728868
14260.0	0.000348399
14420.0	0.000378145
14500.0	0.0
