#Oct 10, 2006	Omega Optical
#Room temperature transmission scans of SWIRC Y-band filter witness sample
#at 15 deg angle of incidence with respect to the normal.
#wl	transmission
#--	-
2900	0.8669
2899	0.4639
2898	0.2646
2897	0.8113
2896	0.4846
2895	0.9253
2894	0.2544
2893	0.9052
2892	1.0540
2891	-0.0927
2890	0.5752
2889	0.0586
2888	0.3224
2887	0.7217
2886	0.4851
2885	0.6484
2884	0.5017
2883	0.5475
2882	0.1629
2881	0.4563
2880	0.6610
2879	-0.1324
2878	0.4415
2877	-0.0777
2876	0.7628
2875	0.2741
2874	0.9679
2873	0.6127
2872	0.6042
2871	0.1923
2870	0.4756
2869	0.1163
2868	0.4175
2867	0.2756
2866	-0.0681
2865	0.4925
2864	0.2655
2863	0.8271
2862	0.0646
2861	0.4897
2860	0.3155
2859	0.1241
2858	0.1235
2857	0.4882
2856	0.4242
2855	0.3568
2854	0.2368
2853	0.2149
2852	0.5609
2851	0.4769
2850	0.0373
2849	0.4090
2848	0.5113
2847	0.0354
2846	0.0529
2845	0.2792
2844	0.1368
2843	0.2537
2842	0.3480
2841	0.4747
2840	-0.0333
2839	0.4119
2838	0.2189
2837	-0.0477
2836	-0.0160
2835	-0.1069
2834	0.7949
2833	0.3201
2832	0.1566
2831	0.2390
2830	0.1659
2829	0.1347
2828	0.2000
2827	-0.0138
2826	0.0760
2825	0.1879
2824	0.0488
2823	0.1689
2822	-0.0838
2821	0.1624
2820	0.0568
2819	0.2572
2818	0.0540
2817	0.0532
2816	0.1269
2815	0.0832
2814	0.0512
2813	0.0500
2812	0.2526
2811	0.1097
2810	0.1384
2809	0.5101
2808	-0.0501
2807	0.0178
2806	-0.1169
2805	-0.1434
2804	0.2786
2803	0.0449
2802	-0.0113
2801	0.0794
2800	-0.0353
2799	-0.0356
2798	0.0735
2797	-0.1562
2796	0.1028
2795	0.0764
2794	-0.1307
2793	0.1699
2792	-0.0246
2791	-0.0370
2790	-0.0857
2789	0.0379
2788	-0.0894
2787	-0.1317
2786	0.0313
2785	0.0041
2784	0.0103
2783	-0.1802
2782	0.1304
2781	0.0798
2780	-0.0465
2779	-0.2280
2778	-0.0333
2777	-0.1533
2776	0.0445
2775	-0.0441
2774	-0.0775
2773	-0.0480
2772	-0.1035
2771	-0.0409
2770	-0.0912
2769	-0.0723
2768	-0.0597
2767	-0.0332
2766	-0.0552
2765	-0.0119
2764	0.0785
2763	-0.0431
2762	-0.0274
2761	-0.1560
2760	-0.1652
2759	-0.0330
2758	0.0075
2757	-0.1226
2756	-0.0114
2755	-0.0113
2754	-0.0031
2753	0.0260
2752	-0.1362
2751	-0.0819
2750	-0.0579
2749	-0.0076
2748	-0.0787
2747	-0.0173
2746	-0.0292
2745	-0.0187
2744	-0.0809
2743	-0.0535
2742	-0.0553
2741	0.0327
2740	-0.0749
2739	-0.0713
2738	-0.0567
2737	0.0380
2736	-0.0131
2735	0.0019
2734	-0.0339
2733	-0.0373
2732	0.0064
2731	-0.0266
2730	-0.0448
2729	-0.0521
2728	-0.0285
2727	-0.0043
2726	-0.0586
2725	0.0055
2724	-0.0096
2723	-0.0345
2722	-0.0340
2721	0.0052
2720	-0.0347
2719	-0.0371
2718	-0.0202
2717	-0.0166
2716	-0.0372
2715	-0.0443
2714	-0.0503
2713	-0.0381
2712	-0.0461
2711	0.0113
2710	-0.0287
2709	-0.0495
2708	-0.0703
2707	-0.0566
2706	-0.0150
2705	0.0128
2704	-0.0194
2703	-0.0056
2702	-0.0025
2701	-0.0167
2700	-0.0042
2699	-0.0383
2698	0.0216
2697	0.0033
2696	-0.0419
2695	-0.0314
2694	-0.0128
2693	-0.0220
2692	0.0170
2691	-0.0217
2690	-0.0075
2689	-0.0192
2688	0.0018
2687	-0.0167
2686	-0.0382
2685	-0.0189
2684	0.0068
2683	0.0170
2682	0.0013
2681	-0.0008
2680	0.0205
2679	0.0095
2678	0.0527
2677	0.0357
2676	0.0395
2675	-0.0114
2674	0.0226
2673	0.0554
2672	0.0097
2671	-0.0054
2670	0.0328
2669	0.0079
2668	0.0564
2667	0.0233
2666	0.0187
2665	0.0549
2664	0.0251
2663	-0.0205
2662	0.0505
2661	0.0457
2660	0.0389
2659	0.0566
2658	0.0628
2657	0.0584
2656	0.0589
2655	0.0563
2654	0.0452
2653	0.0321
2652	0.0582
2651	0.0678
2650	0.0556
2649	0.0773
2648	0.0817
2647	0.0719
2646	0.0689
2645	0.0585
2644	0.0712
2643	0.0759
2642	0.0678
2641	0.0658
2640	0.0855
2639	0.0630
2638	0.0682
2637	0.0873
2636	0.0549
2635	0.0900
2634	0.0897
2633	0.0657
2632	0.0717
2631	0.0647
2630	0.0685
2629	0.0776
2628	0.0834
2627	0.0765
2626	0.0813
2625	0.0646
2624	0.0759
2623	0.0927
2622	0.1035
2621	0.0892
2620	0.0779
2619	0.0673
2618	0.0801
2617	0.0915
2616	0.1049
2615	0.0845
2614	0.1059
2613	0.1026
2612	0.0801
2611	0.0669
2610	0.0866
2609	0.1012
2608	0.0730
2607	0.1156
2606	0.0587
2605	0.0599
2604	0.0835
2603	0.0762
2602	0.0926
2601	0.0954
2600	0.0861
2599	0.1347
2598	0.0840
2597	0.0617
2596	0.0805
2595	0.0673
2594	0.0731
2593	0.0726
2592	0.0865
2591	0.0910
2590	0.0556
2589	0.0905
2588	0.0513
2587	0.0251
2586	0.0588
2585	0.0558
2584	0.0651
2583	0.0564
2582	0.0545
2581	0.0635
2580	0.0910
2579	0.0555
2578	0.0481
2577	0.0506
2576	0.0356
2575	0.0635
2574	0.0349
2573	0.0408
2572	0.0557
2571	0.0282
2570	0.0502
2569	0.0698
2568	0.0439
2567	0.0301
2566	0.0395
2565	0.0578
2564	0.0495
2563	0.0677
2562	0.0366
2561	0.0362
2560	0.0328
2559	0.0434
2558	0.0497
2557	0.0219
2556	0.0567
2555	0.0724
2554	0.0452
2553	0.0378
2552	0.0742
2551	0.0516
2550	0.0485
2549	0.0433
2548	0.0481
2547	0.0601
2546	0.0381
2545	0.0497
2544	0.0361
2543	0.0464
2542	0.0533
2541	0.0768
2540	0.0633
2539	0.0644
2538	0.0615
2537	0.0645
2536	0.0728
2535	0.0692
2534	0.0655
2533	0.0495
2532	0.0679
2531	0.0651
2530	0.0588
2529	0.0659
2528	0.0490
2527	0.0596
2526	0.0529
2525	0.0606
2524	0.0672
2523	0.0612
2522	0.0507
2521	0.0610
2520	0.0552
2519	0.0641
2518	0.0760
2517	0.0761
2516	0.0614
2515	0.0569
2514	0.0716
2513	0.0571
2512	0.0639
2511	0.0653
2510	0.0885
2509	0.0760
2508	0.0504
2507	0.0598
2506	0.0471
2505	0.0377
2504	0.0598
2503	0.0573
2502	0.0498
2501	0.0507
2500	0.0517
2499	0.0543
2498	0.0288
2497	0.0489
2496	0.0563
2495	0.0453
2494	0.0475
2493	0.0435
2492	0.0322
2491	0.0489
2490	0.0526
2489	0.0426
2488	0.0127
2487	0.0307
2486	0.0362
2485	0.0271
2484	0.0426
2483	0.0373
2482	0.0313
2481	0.0504
2480	0.0223
2479	0.0293
